the 那个
be 是
of 的
and 和
a 字母a
to 至
in 在
he 他
have 有
it 它
that 那个
for 为了
they 他们
I 我
with 带有
as 同样地
not 不
on 关于
she 她
at 在
by 通过
this 这个
we 我们
you 您
do 做
but 但是
from 自
or 或
which 哪个
one 一个
would 会
all 全部
will 意志
there 那里
say 说
who 谁
make 制造
when 何时
can 可以
more 更多
if 如果
no 否
man 男人
out 外面的
other 其他
so 因此
what 什么
time 时间
up 向上
go 离去
about 大约
than 比
into 成
could 可以
state 状态
only 仅仅
new 新的
year 年
some 一些
take 拿
come 到达
these 这些
know 知道
see 看见
use 使用
get 获得
like 喜欢
then 那么
first 首先
any 任何
work 工作
now 现在
may 可能
such 这种
give 授予
over 上面的
think 思考
most 多数的
even 偶数
find 查找
day 白天
also 也
after 后
way 方式
many 许多
must 必须
look 看
before 前
great 伟大的
7 7
through 穿过
long 长的
where 哪里
much 许多
should 应该
well 好
people 人们
down 向下的
own 自己的
just 仅仅
because 因为
good 良好的
each 每个
those 那些
feel 感觉
seem 似乎
how 多么
high 高的
too 也
place 地点
little 少许
world 世界
very 非常
still 仍然
nation 民族
hand 手
old 老的
life 生命
tell 告诉
write 写
become 变为
here 这里
show 显示
house 房子
both 两者
between 之间
need 需要
mean 有意义
call 呼叫
develop 发展
under 下
last 最后的
right 右边
move 移动
thing 事情
general 一般
school 学校
never 从不
same 相同的
another 另外的
begin 开始
while 一会儿
number 号码
part 部分
turn 转
real 真正的
leave 离开
might 可能
want 想要
point 点
form 形式
off 远的
child 孩子
few 少数的
small 小的
since 自从
against 相反
ask 询问
late 晚的
home 家
interest 利息
large 大
person 人
end 末端
open 打开
public 公众
follow 跟随
during 在
present 礼物
without 无
again 再次
hold 持有
govern 治理
around 周围
possible 可能
head 头
consider 考虑
word 字
program 程序
problem 问题
however 但是
lead 领导
system 系统
set 设置
order 命令
eye 眼
plan 计划
run 跑
keep 保持
face 脸
fact 事实
group 组
play 玩
stand 站立
increase 增加
early 早的
course 课程
change 更改
help 帮助
line 线
city 城市
put 放置
close 关闭
case 案例
force 力
meet 遇见
once 一次
water 水
upon 经
war 战争
build 建造
hear 听到
light 光
unite 团结
live 活的
every 每个的
country 国家
bring 带来
center 中心
let 让
side 旁边
try 尝试
provide 提供
continue 继续
name 名字
certain 确定的
power 力量
pay 薪酬
result 结果
question 问题
study 研究
woman 女人
member 成员
until 直到
far 遥远的
night 晚上
always 总是
service 服务
away 离去
report 报告
something 某事
company 公司
week 周
church 教堂
toward 向
start 开始
social 社会
room 房间
figure 数字
nature 性质
though 尽管
young 年轻的
less 较少
enough 足够的
almost 几乎
read 阅读
include 包括：
president 总裁
nothing 无
yet 然而
better 较好的
big 大的
boy 男孩
cost 成本
business 商业
value 值
second 第二
why 为什么
clear 清楚的
expect 期待
family 家庭
complete 完成
act 行为
sense 感
mind 思想
experience 经验
art 艺术
next 下一个
near 附近的
direct 直接
car 小汽车
law 法律
industry 工业
important 重要的
girl 女孩
god 上帝
several 几个
matter 事件
usual 通常
rather 宁愿
per 每
often 经常
kind 种类
among 其中
white 白色
reason 原因
action 行动
return 返回
foot 脚
care 关心
simple 简单
within 内部
love 爱
human 人类
along 沿着
appear 出现
doctor 医生
believe 相信
speak 演讲
active 活跃
student 学生
month 本月
drive 驾驶
concern 涉及
best 最好的
door 门
hope 希望
example 例如
inform 通知
body 身体
ever 曾经
least 最少的
probable 可能
understand 理解
reach 到达
effect 效应
different 不同
idea 主意
whole 整个
control 控制
condition 条件
field 领域
pass 通过
fall 秋天
note 注意
special 特别
talk 谈论
particular 特别是
today 今天
measure 措施
walk 步行
teach 教
low 低的
hour 小时
type 类型
carry 携带
rate 比率
remain 保持
full 满的
street 街头
easy 容易的
although 虽然
record 记录
sit 坐
determine 确定
level 水平
local 本地
sure 当然
receive 接收
thus 因而
moment 时刻
spirit 精神
train 火车
college 学院
religion 宗教
perhaps 或许
music 音乐
grow 生长
free 自由的
cause 原因
serve 服务
age 年龄
book 书
board 木板
recent 最近
sound 声音
office 办公室
cut 切割
step 步
class 类
TRUE 真
history 历史
position 位置
above 上面的
strong 强壮的
friend 朋友
necessary 必要
add 添加
court 法院
deal 交易
tax 税
support 支持
party 聚会
whether 是否
either 或者
land 陆地
material 材料
happen 发生
education 教育
death 死亡
arm 臂
mother 母亲
across 横过
quite 相当
anything 任何事
town 城镇
past 过去
view 查看
society 社会
manage 管理
answer 答案
break 打断
organize 组织
half 一半
fire 火
lose 失去
money 金钱
stop 停止
actual 实际
already 已经
effort 成就
wait 等待
department 部门
able 能够的
political 政治
learn 学习
*** ***
air 空气
together 一起
shall 将
cover 封面
common 通用
subject 题目
draw 绘制
short 短的
wife 妻子
treat 对待
limit 限制
road 道路
letter 信
color 彩色
behind 背后
produce 生产
send 发送
term 长期
total 总
university 九龙东铁大学站
rise 增加
century 世纪
success 成功
minute 分钟
remember 记住
purpose 目的
test 测试
fight 战斗
watch 观看
situation 情况
south 南
ago 前
difference 差异
stage 阶段
father 父亲
table 桌子
rest 休息
bear 熊
entire 整个
market 市场
prepare 准备
explain 解释
offer 提供
plant 植物
charge 电荷
ground 地面
west 西部
picture 图片
hard 硬的
front 前
lie 说谎
modern 现代
dark 黑暗的
surface 表面
rule 规则
regard 关心
dance 舞蹈
peace 和平
observe 观察
future 未来
wall 墙
farm 农场
claim 主张
firm 公司
operation 操作
further 更远的
pressure 压力
property 财产
morning 早晨
amount 数量
top 顶端
outside 外面
piece 片
sometimes 有时
beauty 美景
trade 贸易
fear 恐怖
demand 需求
wonder 奇迹
list 列表
accept 接受
judge 法官
paint 涂料
mile 英里
soon 很快
responsible 负责
allow 允许
secretary 书记
heart 心脏
union 工会
slow 慢的
island 海岛办事处
enter 进入
drink 喝
story 故事
experiment 实验
stay 逗留
paper 文件
space 空间
apply 应用
decide 决定
share 共享
desire 期望
spend 花费
sign 标志
therefore 因此
various 各
visit 访问
supply 供应
officer 军官
doubt 疑问
private 私人
immediate 即时
wish 愿望
contain 包含
feed 喂养
raise 上升
describe 描述
ready 有准备的
horse 马
son 儿子
exist 存在
north 北
suggest 建议
station 站
effective 有效
food 食物
deep 深奥的
wide 宽的
alone 单独的
character 字符
English 英语
happy 快乐的
critic 评论家
unit 单位
product 产品
respect 尊重
drop 落下
nor 也不
fill 充满
cold 寒冷的
represent 代表
sudden 突然
basic 基本
kill 杀死
fine 美好的
trouble 麻烦
mark 商标
single 单个
press 新闻
heavy 沉重的
attempt 尝试
origin 原产地
standard 标准
everything 每件事
committee 委员会
moral 道德
black 黑色
red 红色
bad 糟糕的
earth 地球
accord 协议
else 其他的
mere 单纯
die 死亡
remark 备注
basis 基础
except 除
equal 平等
east 东部
event 事件
employ 聘用
defense 国防
smile 微笑
river 河
improve 提高
game 游戏
detail 详细
account 帐户
cent 百分之
sort 排序
reduce 减少
club 俱乐部
buy 购买
attention 注意
ship 船
decision 决定
wear 穿
inside 内部
win 赢
suppose 假设
ride 骑
operate 经营
realize 实现
sale 出售
choose 选择
park 公园
square 广场
vote 投票
price 价格
district 区
dead 死的
foreign 外国
window 窗口
beyond 超过
direction 方向
strike 罢工
instead 代替
trial 试验
practice 实践
catch 捕捉
opportunity 机会
likely 可能
recognize 承认
permit 许可证
serious 严重
attack 攻击
floor 地面
association 协会
spring 春天
lot 很多
stock 股票
lack 缺乏
hair 头发
science 科学
relation 关系
profession 专业
pattern 模式
quick 快速
medical 医疗
influence 影响力
occasion 场合
machine 机
compare 比较
husband 丈夫
blue 蓝色
international 国际餐厅
fair 公平的
especially 特别是
indeed 确实
imagine 想像
surprise 惊喜
average 平均
official 官方
temperature 温度
difficult 困难
sing 唱
hit 打击
tree 树
race 种族
police 警察
touch 触摸
relative 相对
throw 投
quality 质量
former 前
pull 拉
chance 机会
prove 证明
argue 争论
settle 定居
growth 增长
date 日期
heat 加热
save 保存
performance 性能
count 计数
production 生产
listen 听
main 主要的
pick 选择
size 大小
cool 凉爽的
army 军队
patient 病人
combine 结合
summer 夏天
hall 大厅
slight 轻微
command 命令
enjoy 享受
length 长度
proper 正确
express 表达
health 健康
chief 长
evening 傍晚
store 存储
language 语言
degree 学位
lay 放置
current 当前的
gun 枪
dog 狗
hotel 酒店
strange 陌生的
separate 独立
boat 船
fail 失败
clean 清洁的
dress 礼服
anyone 任何人
gain 增益
pain 痛苦
object 对象
knowledge 知识
depend 依赖
relate 有关
below 下面
dollar 美元
advance 前进
shape 形状
arrange 安排
population 人口
yes 是
sell 出售
mention 提
dry 干燥的
check 检查
poet 诗人
sleep 睡觉
join 加入
hot 热的
bed 床
electric 电
dream 梦想
due 预期的
season 赛季
manner 方式
fit 适合
left 左边
progress 进展
neither 两者都不
strength 实力
notice 通知
finish 完成
opinion 意见
bill 帐单
western 西部
truth 真理
wrong 错误的
travel 旅行
suit 合适
bank 银行
exact 确切
honor 荣誉
brother 兄弟
quiet 安静的
marry 结婚
corner 角
handle 把柄
danger 危险
hospital 医院
pool 池
promise 承诺
blood 血液
shoot 拍摄
scene 现场
literature 文学
arrive 到达
film 电影
base 基地
freedom 自由
bar 酒吧
maybe 大概
hang 挂起
suffer 受苦
manufacture 制造
frequent 频繁
rock 岩石
loss 损失
burn 烧伤
audience 观众
essential 基本
glass 玻璃
prevent 防止
poem 诗
poor 贫穷的
inch 英寸
song 歌曲
skill 技能
post 后
popular 流行
radio 广播电台
animal 动物
conscious 意识
worth 价值
eat 吃
election 选举
faith 信念
wave 波
murder 谋杀
model 模型
forget 忘记
extend 延长
edge 边缘
distance 距离
memory 内存
recommend 建议
division 师
staff 全体职员
leg 腿
discussion 讨论
address 地址
fly 飞翔
dependent 依赖
ball 球
shake 动摇
frame 结构
extreme 极端
engineer 工程师
thick 厚的
comfort 舒适
latter 后者
camp 营
oil 油
discover 发现
examine 检查
difficulty 困难
tooth 牙齿
middle 中间
choice 选择
refer 指
enemy 敌人
practical 实际
marriage 婚姻
bridge 桥
declare 申报
lady 女士
cross 交叉
daily 每日
afternoon 下午
attend 出席
director 主任
balance 平衡
wash 洗
capital 资本
speed 速度
block 块
citizen 公民
mouth 嘴
hill 山
green 绿色
please 请
motor 马达
agency 机构
encourage 鼓励
governor 省长
worry 担心
affair 事件
shoulder 肩
bright 明亮的
mass 大众
sample 样品
pretty 漂亮的
repeat 重复
roll 卷
push 推
trip 旅行
council 理事会
clothe 衣服
parent 家长
forward 转寄
sharp 锋利的
straight 直的
gas 气体
weight 重量
discuss 讨论
fix 固定
load 加载
master 主人
whatever 无论什么
round 轮
rapid 快速
laugh 笑
finger 手指
spot 现货
propose 建议
shop 店铺
broad 广泛
replace 取代
reply 回复
extent 范围
lock 锁
employee 雇员
ahead 未来
sight 视力
spread 伸展
wind 风
approve 批准
destroy 销毁
none 毫无
pound 英镑
fame 名声
importance 重要性
reflect 反映
advantage 优势
match 比赛
regular 定期
wage 工资
refuse 垃圾
existence 存在
hardly 很难
perform 执行
title 标题
tend 趋向
exercise 演习
thin 薄的
coat 外套
bit 少量
mountain 山
youth 青年
behavior 行为
newspaper 报纸
secret 秘密
ability 能力
sea 海
soft 软
justice 正义
reasonable 合理
circle 圈
solid 固体
page 网页
weapon 武器
fast 快速的
representative 代表
search 搜索
pure 纯
escape 逃生
crowd 人群
stick 手杖
telephone 电话
avoid 避免
garden 花园餐厅
favor 青睐
news 新闻
unless 除非
dinner 宴会
someone 某人
100 100
yard 码
ideal 理想
warm 暖和的
miss 想
shelter 住房
soldier 士兵
article 文章
cry 哭
captain 队长
familiar 熟悉
seat 座位
guest 住客
weak 虚弱的
excite 激发
king 国王
everyone 每个人
wine 葡萄酒
hole 洞
duty 责任
beat 击打
perfect 完善
bottom 底部
compose 撰写
battle 战斗
expense 费用
cattle 牛
flow 流动
kitchen 厨房
dust 尘
bottle 瓶
admit 承认
tear 撕裂
tire 轮胎
expression 表达
exception 例外
application 应用程序
belong 属于
rich 丰富
failure 失败
struggle 斗争
instrument 文书
variety 品种
narrow 狭窄的
theater 影院
collection 收集
rain 雨
review 复习
preserve 保存
leadership 领导
clay 粘土
daughter 女儿
fellow 研究员
swing 摆动
thank 谢谢
library 图书馆
fat 肥胖
reserve 储备
tour 旅游
nice 好的
warn 警告
ring 环
bitter 苦
chair 椅子
yesterday 昨天
scientific 科学
flower 花
wheel 轮
solution 解决方案
aim 目标
gather 收集
invite 邀请
moreover 而且
fresh 新鲜
forest 森林
winter 冬天
box 盒
belief 信念
ordinary 普通
impossible 不可能
print 打印
gray 灰色
taste 品尝
lip 唇
speech 讲话
reference 参考
stain 染色
connection 连接
otherwise 否则
stretch 拉伸
knife 刀
village 村
blow 殴打
mistake 错误
sweet 甜的
shout 留言
divide 鸿沟
guard 后卫
worse 更糟
exchange 交流
rare 罕见
commercial 商业
request 请求
appoint 任命
agent 代理
dependence 依赖
bird 鸟
wild 野性的
motion 议案
guess 猜
neighbor 邻居
seed 种子
fashion 时尚
loan 贷款
correct 正确
plain 平原
mail 邮件
retire 退休
opposite 相反
prefer 喜欢
safe 安全
evil 邪恶的
double 双
wood 木
empty 空的
baby 婴儿
advise 建议
content 内容
sport 体育
lift 升降机
literary 文学
curious 好奇
tie 带子
flat 平坦的
message 消息
neck 颈部
hate 憎恨
dirt 污垢
delight 喜悦
trust 信任
nobody 没有人
valley 山谷
tool 工具
presence 存在
cook 烹调
railroad 铁路
minister 部长
coffee 咖啡
brush 刷
beside 旁边
collect 收集
guide 指南
luck 运气
profit 利润
lord 洛德
everybody 大家
prison 监狱
cloud 云
slave 司雷夫文
chairman 董事长
soil 土壤
distinguish 区分
introduce 引进
urge 敦促
blind 瞎的
arise 出现
upper 上
curve 曲线
membership 会员
key 钥匙
entertain 娱乐
soul 灵魂
neighborhood 邻里
friendly 友好
pair 对
stone 石
lean 精益
protect 保护
advertise 广告
mystery 神秘
welcome 欢迎
knee 膝
jump 跳
snake 蛇
stream 河流
avenue 途径
brown 褐色
disease 疾病
hat 帽子
excellent 优秀
formal 正式
snow 雪
sheet 薄片
somehow 不知
unity 团结
sky 天空
rough 粗糙的
