1 the 那个
2 be 是
3 of 的
4 and 和
5 a 字母a
6 to 至
7 in 在
8 he 他
9 have 有
10 it 它
11 that 那个
12 for 为了
13 they 他们
14 I 我
15 with 带有
16 as 同样地
17 not 不
18 on 关于
19 she 她
20 at 在
21 by 通过
22 this 这个
23 we 我们
24 you 您
25 do 做
26 but 但是
27 from 自
28 or 或
29 which 哪个
30 one 一个
31 would 会
32 all 全部
33 will 意志
34 there 那里
35 say 说
36 who 谁
37 make 制造
38 when 何时
39 can 可以
40 more 更多
41 if 如果
42 no 否
43 man 男人
44 out 外面的
45 other 其他
46 so 因此
47 what 什么
48 time 时间
49 up 向上
50 go 离去
51 about 大约
52 than 比
53 into 成
54 could 可以
55 state 状态
56 only 仅仅
57 new 新的
58 year 年
59 some 一些
60 take 拿
61 come 到达
62 these 这些
63 know 知道
64 see 看见
65 use 使用
66 get 获得
67 like 喜欢
68 then 那么
69 first 首先
70 any 任何
71 work 工作
72 now 现在
73 may 可能
74 such 这种
75 give 授予
76 over 上面的
77 think 思考
78 most 多数的
79 even 偶数
80 find 查找
81 day 白天
82 also 也
83 after 后
84 way 方式
85 many 许多
86 must 必须
87 look 看
88 before 前
89 great 伟大的
90 7 7
91 through 穿过
92 long 长的
93 where 哪里
94 much 许多
95 should 应该
96 well 好
97 people 人们
98 down 向下的
99 own 自己的
100 just 仅仅
101 because 因为
102 good 良好的
103 each 每个
104 those 那些
105 feel 感觉
106 seem 似乎
107 how 多么
108 high 高的
109 too 也
110 place 地点
111 little 少许
112 world 世界
113 very 非常
114 still 仍然
115 nation 民族
116 hand 手
117 old 老的
118 life 生命
119 tell 告诉
120 write 写
121 become 变为
122 here 这里
123 show 显示
124 house 房子
125 both 两者
126 between 之间
127 need 需要
128 mean 有意义
129 call 呼叫
130 develop 发展
131 under 下
132 last 最后的
133 right 右边
134 move 移动
135 thing 事情
136 general 一般
137 school 学校
138 never 从不
139 same 相同的
140 another 另外的
141 begin 开始
142 while 一会儿
143 number 号码
144 part 部分
145 turn 转
146 real 真正的
147 leave 离开
148 might 可能
149 want 想要
150 point 点
151 form 形式
152 off 远的
153 child 孩子
154 few 少数的
155 small 小的
156 since 自从
157 against 相反
158 ask 询问
159 late 晚的
160 home 家
161 interest 利息
162 large 大
163 person 人
164 end 末端
165 open 打开
166 public 公众
167 follow 跟随
168 during 在
169 present 礼物
170 without 无
171 again 再次
172 hold 持有
173 govern 治理
174 around 周围
175 possible 可能
176 head 头
177 consider 考虑
178 word 字
179 program 程序
180 problem 问题
181 however 但是
182 lead 领导
183 system 系统
184 set 设置
185 order 命令
186 eye 眼
187 plan 计划
188 run 跑
189 keep 保持
190 face 脸
191 fact 事实
192 group 组
193 play 玩
194 stand 站立
195 increase 增加
196 early 早的
197 course 课程
198 change 更改
199 help 帮助
200 line 线
201 city 城市
202 put 放置
203 close 关闭
204 case 案例
205 force 力
206 meet 遇见
207 once 一次
208 water 水
209 upon 经
210 war 战争
211 build 建造
212 hear 听到
213 light 光
214 unite 团结
215 live 活的
216 every 每个的
217 country 国家
218 bring 带来
219 center 中心
220 let 让
221 side 旁边
222 try 尝试
223 provide 提供
224 continue 继续
225 name 名字
226 certain 确定的
227 power 力量
228 pay 薪酬
229 result 结果
230 question 问题
231 study 研究
232 woman 女人
233 member 成员
234 until 直到
235 far 遥远的
236 night 晚上
237 always 总是
238 service 服务
239 away 离去
240 report 报告
241 something 某事
242 company 公司
243 week 周
244 church 教堂
245 toward 向
246 start 开始
247 social 社会
248 room 房间
249 figure 数字
250 nature 性质
251 though 尽管
252 young 年轻的
253 less 较少
254 enough 足够的
255 almost 几乎
256 read 阅读
257 include 包括：
258 president 总裁
259 nothing 无
260 yet 然而
261 better 较好的
262 big 大的
263 boy 男孩
264 cost 成本
265 business 商业
266 value 值
267 second 第二
268 why 为什么
269 clear 清楚的
270 expect 期待
271 family 家庭
272 complete 完成
273 act 行为
274 sense 感
275 mind 思想
276 experience 经验
277 art 艺术
278 next 下一个
279 near 附近的
280 direct 直接
281 car 小汽车
282 law 法律
283 industry 工业
284 important 重要的
285 girl 女孩
286 god 上帝
287 several 几个
288 matter 事件
289 usual 通常
290 rather 宁愿
291 per 每
292 often 经常
293 kind 种类
294 among 其中
295 white 白色
296 reason 原因
297 action 行动
298 return 返回
299 foot 脚
300 care 关心
301 simple 简单
302 within 内部
303 love 爱
304 human 人类
305 along 沿着
306 appear 出现
307 doctor 医生
308 believe 相信
309 speak 演讲
310 active 活跃
311 student 学生
312 month 本月
313 drive 驾驶
314 concern 涉及
315 best 最好的
316 door 门
317 hope 希望
318 example 例如
319 inform 通知
320 body 身体
321 ever 曾经
322 least 最少的
323 probable 可能
324 understand 理解
325 reach 到达
326 effect 效应
327 different 不同
328 idea 主意
329 whole 整个
330 control 控制
331 condition 条件
332 field 领域
333 pass 通过
334 fall 秋天
335 note 注意
336 special 特别
337 talk 谈论
338 particular 特别是
339 today 今天
340 measure 措施
341 walk 步行
342 teach 教
343 low 低的
344 hour 小时
345 type 类型
346 carry 携带
347 rate 比率
348 remain 保持
349 full 满的
350 street 街头
351 easy 容易的
352 although 虽然
353 record 记录
354 sit 坐
355 determine 确定
356 level 水平
357 local 本地
358 sure 当然
359 receive 接收
360 thus 因而
361 moment 时刻
